Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Paced walking duration (ms)
12/22/2024,33,1680.24865,780.493383,13,13,15.53561115,76.87825775,15.53561115,76.87825775,0.389377889,0.921498831,0.263587424,1820,,,,788380,,356124,,
12/21/2024,31,1693.948376,1199.116367,,,,,,,0.486346312,1.376991093,0.253043927,2444,,,,,,1418779,,
12/20/2024,144,1923.372686,5776.186535,2,2,,,,,0.489842398,1.74000001,0.253043927,9954,,,,,,5109358,,
12/19/2024,78,1853.350866,3173.817256,3,3,15.6297369,76.89203644,15.63087654,76.89279175,0.498880217,1.304738366,0.082433209,5799,,,,,,3982969,,
12/18/2024,50,1795.399823,3434.132057,34,34,15.61580372,76.8914566,15.63773823,76.89311981,0.750705652,8.089559181,0.013312492,1993,,,,1750468,,1180610,,
12/17/2024,30,1674.878391,1426.031844,3,3,,,,,0.449493697,1.407382482,0.257507388,2741,,,,,,1112016,,
12/16/2024,14,1640.988603,572.8096239,,,,,,,0.418386336,1.00405057,0.253043927,1169,,,,,,566856,,
12/15/2024,43,1714.632387,2328.871436,11,11,15.53553963,76.87813568,15.53577423,76.88180542,0.498278569,1.338833529,0.242480144,3837,,,,,,1751507,,
12/14/2024,27,1700.633529,1511.75722,10,10,,,,,0.423516065,1.346236646,0.253043927,2449,,,,,,1526319,,
12/13/2024,19,1655.49515,677.6547355,,,,,,,0.445476498,1.229687669,0.251634772,1313,,,,,,800213,,
12/12/2024,42,1767.45072,473.5292224,30,30,15.53575516,76.88152313,15.53791332,76.88214111,0.452763647,1.175233391,0.253043927,1023,,,,1907794,,562933,,
12/11/2024,18,1701.391266,700.2060066,,,,,,,0.40522783,0.997600683,0.253043927,1448,,,,,,1538508,,
